"統計名：","人口推計 2019年10月1日現在人口推計"
"表番号：","005"
"表題：","都道府県，男女別人口－総人口，日本人人口"
"実施年月：","2019年","10月"
"市区町村時点（年月日）：","-"

"***","　"
"-","該当数値がないもの　"

"","","","","","","","","/時間軸（年） コード","2019000000"
"表章項目 コード","表章項目","男女別 コード","男女別","人口 コード","人口","全国・都道府県 コード","全国・都道府県","/時間軸（年）","2019年"
"001","人口【千人】","001","男","001","総人口","26000","京都府","","1,234"
"001","人口【千人】","001","男","001","総人口","27000","大阪府","","4,227"
"001","人口【千人】","001","男","001","総人口","28000","兵庫県","","2,605"
"001","人口【千人】","001","男","001","総人口","29000","奈良県","","626"
"001","人口【千人】","001","男","001","総人口","30000","和歌山県","","435"
"001","人口【千人】","001","男","001","総人口","31000","鳥取県","","266"
"001","人口【千人】","001","男","001","総人口","32000","島根県","","326"
"001","人口【千人】","001","男","001","総人口","33000","岡山県","","909"
"001","人口【千人】","001","男","001","総人口","34000","広島県","","1,362"
"001","人口【千人】","001","男","001","総人口","35000","山口県","","645"
"001","人口【千人】","001","男","001","総人口","36000","徳島県","","347"
"001","人口【千人】","001","男","001","総人口","37000","香川県","","464"
"001","人口【千人】","001","男","001","総人口","38000","愛媛県","","634"
"001","人口【千人】","001","男","001","総人口","39000","高知県","","329"
"001","人口【千人】","001","男","001","総人口","40000","福岡県","","2,416"
"001","人口【千人】","001","男","001","総人口","41000","佐賀県","","386"
"001","人口【千人】","001","男","001","総人口","42000","長崎県","","624"
"001","人口【千人】","001","男","001","総人口","43000","熊本県","","825"
"001","人口【千人】","001","男","001","総人口","44000","大分県","","539"
"001","人口【千人】","001","男","001","総人口","45000","宮崎県","","505"
"001","人口【千人】","001","男","001","総人口","46000","鹿児島県","","753"
"001","人口【千人】","001","男","001","総人口","47000","沖縄県","","715"
"001","人口【千人】","001","男","002","日本人人口","00000","全国","","60,208"
"001","人口【千人】","001","男","002","日本人人口","01000","北海道","","2,455"
"001","人口【千人】","001","男","002","日本人人口","02000","青森県","","583"
"001","人口【千人】","001","男","002","日本人人口","03000","岩手県","","589"
"001","人口【千人】","001","男","002","日本人人口","04000","宮城県","","1,116"
"001","人口【千人】","001","男","002","日本人人口","05000","秋田県","","453"
"001","人口【千人】","001","男","002","日本人人口","06000","山形県","","517"
"001","人口【千人】","001","男","002","日本人人口","07000","福島県","","908"
"001","人口【千人】","001","男","002","日本人人口","08000","茨城県","","1,401"
"001","人口【千人】","001","男","002","日本人人口","09000","栃木県","","951"
"001","人口【千人】","001","男","002","日本人人口","10000","群馬県","","932"
"001","人口【千人】","001","男","002","日本人人口","11000","埼玉県","","3,575"
"001","人口【千人】","001","男","002","日本人人口","12000","千葉県","","3,051"
"001","人口【千人】","001","男","002","日本人人口","13000","東京都","","6,589"
"001","人口【千人】","001","男","002","日本人人口","14000","神奈川県","","4,483"
"001","人口【千人】","001","男","002","日本人人口","15000","新潟県","","1,071"
"001","人口【千人】","001","男","002","日本人人口","16000","富山県","","498"
"001","人口【千人】","001","男","002","日本人人口","17000","石川県","","545"
"001","人口【千人】","001","男","002","日本人人口","18000","福井県","","368"
"001","人口【千人】","001","男","002","日本人人口","19000","山梨県","","391"
"001","人口【千人】","001","男","002","日本人人口","20000","長野県","","985"
"001","人口【千人】","001","男","002","日本人人口","21000","岐阜県","","941"
"001","人口【千人】","001","男","002","日本人人口","22000","静岡県","","1,754"
"001","人口【千人】","001","男","002","日本人人口","23000","愛知県","","3,661"
"001","人口【千人】","001","男","002","日本人人口","24000","三重県","","847"
"001","人口【千人】","001","男","002","日本人人口","25000","滋賀県","","683"
"001","人口【千人】","001","男","002","日本人人口","26000","京都府","","1,206"
"001","人口【千人】","001","男","002","日本人人口","27000","大阪府","","4,136"
"001","人口【千人】","001","男","002","日本人人口","28000","兵庫県","","2,557"
"001","人口【千人】","001","男","002","日本人人口","29000","奈良県","","621"
"001","人口【千人】","001","男","002","日本人人口","30000","和歌山県","","432"
"001","人口【千人】","001","男","002","日本人人口","31000","鳥取県","","264"
"001","人口【千人】","001","男","002","日本人人口","32000","島根県","","321"
"001","人口【千人】","001","男","002","日本人人口","33000","岡山県","","897"
"001","人口【千人】","001","男","002","日本人人口","34000","広島県","","1,339"
"001","人口【千人】","001","男","002","日本人人口","35000","山口県","","637"
"001","人口【千人】","001","男","002","日本人人口","36000","徳島県","","346"
"001","人口【千人】","001","男","002","日本人人口","37000","香川県","","458"
"001","人口【千人】","001","男","002","日本人人口","38000","愛媛県","","628"
"001","人口【千人】","001","男","002","日本人人口","39000","高知県","","327"
"001","人口【千人】","001","男","002","日本人人口","40000","福岡県","","2,381"
"001","人口【千人】","001","男","002","日本人人口","41000","佐賀県","","383"
"001","人口【千人】","001","男","002","日本人人口","42000","長崎県","","620"
"001","人口【千人】","001","男","002","日本人人口","43000","熊本県","","819"
"001","人口【千人】","001","男","002","日本人人口","44000","大分県","","533"
"001","人口【千人】","001","男","002","日本人人口","45000","宮崎県","","502"
"001","人口【千人】","001","男","002","日本人人口","46000","鹿児島県","","749"
"001","人口【千人】","001","男","002","日本人人口","47000","沖縄県","","704"
"001","人口【千人】","002","女","001","総人口","00000","全国","","64,756"
"001","人口【千人】","002","女","001","総人口","01000","北海道","","2,778"
"001","人口【千人】","002","女","001","総人口","02000","青森県","","661"
"001","人口【千人】","002","女","001","総人口","03000","岩手県","","635"
"001","人口【千人】","002","女","001","総人口","04000","宮城県","","1,179"
"001","人口【千人】","002","女","001","総人口","05000","秋田県","","512"
"001","人口【千人】","002","女","001","総人口","06000","山形県","","558"
